"","VAR","IV","Gini","miss"
"1","duration","0.2465",0.274804761904762,0
"2","credit_amount","0.1136",0.179604761904762,0
"3","age","0.1007",0.177690476190476,0
"4","checking_status","0.666",0.415538095238095,0
"5","credit_history","0.2918",0.253109523809524,0
"6","purpose","0.1487",0.205209523809524,0
"7","savings_status","0.1961",0.198285714285714,0
"8","employment","0.0866",0.161638095238095,0
"9","personal_status","0.0446",0.104847619047619,0
"10","other_parties","0.032",0.051304761904762,0
"11","property_magnitude","0.1127",0.170657142857143,0
"12","other_payment_plans","0.0576",0.0963714285714286,0
"13","housing","0.0833",0.134361904761905,0
"14","existing_credits","0.0115",0.0503047619047621,0
"15","job","0.0088",0.0428857142857142,0
"16","own_telephone","0.0064",0.039047619047619,0
"17","foreign_worker","0.0439",0.0338095238095237,0
"18","installment_commitment","0.0262",0.0867666666666667,0
"19","residence_since","0.0035",0.0323571428571428,0
"20","num_dependents","0",0.00238095238095237,0
